"","Country","City","AccentCity","Region","Population","Latitude","Longitude"
"658335","co","agua bonita","Agua Bonita","37",NA,5.184632,-75.127002
"658336","co","aguabuena","Aguabuena","26",NA,6.394039,-73.259321
"658337","co","aguacaliente","Aguacaliente","08",NA,1.381118,-75.630307
"658338","co","aguacaliente","Aguacaliente","16",NA,2.135556,-75.67
"658339","co","agua caliente","Agua Caliente","21",NA,8.416667,-72.5
"658340","co","aguacaliente","Aguacaliente","26",NA,7.498333,-73.216667
"658341","co","agua caliente","Agua Caliente","28",NA,3.293056,-75.032778
"658342","co","aguacaliente","Aguacaliente","28",NA,4.475556,-75.401667
"658343","co","aguacaliente","Aguacaliente","36",NA,4.830807,-73.208864
"658344","co","aguacatal","Aguacatal","02",NA,7.102596,-75.405245
"658345","co","aguacatal","Aguacatal","10",NA,9.10084,-73.64685
"658346","co","aguacatal","Aguacatal","27",NA,9.358379,-75.311293
"658347","co","aguacate","Aguacate","02",NA,5.835527,-75.506399
"658348","co","aguacate","Aguacate","11",NA,8.619775,-77.330007
"658349","co","aguacate","Aguacate","20",NA,1.55,-78.033333
"658350","co","aguacate","Aguacate","27",NA,9.633333,-75.4
"658351","co","aguacate","Aguacate","37",NA,4.933333,-75.85
"658352","co","aguachica","Aguachica","10",73361,8.308442,-73.6166
"658353","co","aguacilla","Aguacilla","20",NA,1.583333,-77.016667
"658354","co","aguacillas","Aguacillas","20",NA,1.583333,-77.016667
"658355","co","agua clara","Agua Clara","09",NA,2.708096,-77.160157
"658356","co","aguaclara","Aguaclara","09",NA,2.295672,-77.767545
"658357","co","agua clara","Agua Clara","12",NA,8.487234,-75.313795
"658358","co","agua clara","Agua Clara","19",NA,4.063282,-73.021755
"658359","co","aguaclara","Aguaclara","20",NA,1.605833,-78.961111
"658360","co","aguaclara","Aguaclara","21",NA,8.23475,-72.426798
"658361","co","aguaclara","Aguaclara","29",NA,3.501111,-76.235556
"658362","co","agua clara","Agua Clara","29",NA,4.115833,-76.194444
"658363","co","aguaclara","Aguaclara","32",NA,4.748196,-72.997716
"658364","co","agua colorada","Agua Colorada","36",NA,5.735833,-74.096389
"658365","co","aguada","Aguada","14",NA,1.687426,-73.58343
"658366","co","aguada","Aguada","20",NA,1.132029,-77.37816
"658367","co","aguada","Aguada","32",NA,5.900929,-72.004085
"658368","co","aguada de caferino","Aguada de Caferino","26",NA,7.181865,-73.166003
"658369","co","aguada de garrapata","Aguada de Garrapata","38",NA,9.355026,-74.098627
"658370","co","aguada de pablo","Aguada de Pablo","04",NA,10.520372,-75.006197
"658371","co","aguadas","Aguadas","16",NA,1.923868,-76.292322
"658372","co","aguadas","Aguadas","37",19727,5.611612,-75.456235
"658373","co","agua de dios","Agua de Dios","26",NA,5.779722,-73.866111
"658374","co","agua de dios","Agua de Dios","33",10876,4.376478,-74.669952
"658375","co","agua de la virgen","Agua de La Virgen","21",NA,8.211389,-73.3925
"658376","co","agua de pablo","Agua de Pablo","04",NA,10.520372,-75.006197
"658377","co","agua de perro","Agua de Perro","33",NA,5.525,-74.260278
"658378","co","aguadita","Aguadita","02",NA,6.809722,-76.076667
"658379","co","aguadita","Aguadita","28",NA,5.141886,-75.114792
"658380","co","aguadita","Aguadita","37",NA,5.279526,-75.556356
"658381","co","aguaditas","Aguaditas","12",NA,8.769433,-75.514553
"658382","co","agua dulce","Agua Dulce","09",NA,2.793889,-77.6125
"658383","co","agua dulce","Agua Dulce","10",NA,10.633333,-73.433333
"658384","co","aguadulce","Aguadulce","12",NA,8.708749,-75.698126
"658385","co","aguadulce","Aguadulce","25",NA,13.35,-81.383333
"658386","co","aguadulce","Aguadulce","33",NA,4.267396,-74.252287
"658387","co","aguadulce","Aguadulce","38",NA,10.821944,-74.654722
"658388","co","aguaestrada","Aguaestrada","38",NA,9.167778,-73.991111
"658389","co","aguaflorida","Aguaflorida","27",NA,9.514323,-75.361427
"658390","co","aguafria","Aguafría","04",NA,10.75,-74.983333
"658391","co","aguafria","Aguafría","10",NA,9.456111,-73.587222
"658392","co","agua fria","Agua Fría","26",NA,5.83,-73.842778
"658393","co","agua fria","Agua Fría","35",NA,8.669087,-74.425867
"658394","co","agua fria","Agua Fría","36",NA,5.7725,-74.045278
"658395","co","aguafria","Aguafría","36",NA,6.029358,-73.432533
"658396","co","aguafria","Aguafría","38",NA,9.1,-74.029167
"658397","co","agua hedionda","Agua Hedionda","16",NA,2.126667,-75.6425
"658398","co","aguahedionda","Aguahedionda","16",NA,3.291944,-75.105556
"658399","co","agualinda","Agualinda","02",NA,6.321389,-74.609444
"658400","co","agua linda","Agua Linda","02",NA,6.337784,-75.607653
"658401","co","agualinda","Agualinda","02",NA,6.915833,-75.541944
"658402","co","agua linda","Agua Linda","03",NA,6.630754,-70.897045
"658403","co","agualinda","Agualinda","03",NA,6.985167,-71.890567
"658404","co","agua linda","Agua Linda","19",NA,2.737232,-72.904688
"658405","co","agualinda","Agualinda","21",NA,7.833333,-72.916667
"658406","co","agualinda","Agualinda","26",NA,7.155779,-73.34215
"658407","co","agualinda","Agualinda","32",NA,5.191329,-72.590676
