"","city","city_ascii","lat","lng","pop","country","iso2","iso3","province"
"2131","Villavicencio","Villavicencio",4.153323994,-73.63499923,348240,"Colombia","CO","COL","Meta"
"2132","Tumaco","Tumaco",1.809978657,-78.80998051,86713,"Colombia","CO","COL","Nariño"
"2133","Manizales","Manizales",5.059986998,-75.52000045,366831,"Colombia","CO","COL","Caldas"
"2134","Pasto","Pasto",1.21360679,-77.28110742,371138.5,"Colombia","CO","COL","Nariño"
"2135","Barranquilla","Barranquilla",10.95998863,-74.79996688,1521245.5,"Colombia","CO","COL","Atlántico"
"2136","Cartagena","Cartagena",10.39973859,-75.51439356,887000,"Colombia","CO","COL","Bolívar"
"2137","Mitu","Mitu",1.198310566,-70.17360844,5917,"Colombia","CO","COL","Vaupés"
"2138","Leticia","Leticia",-4.220015036,-69.93997929,46012.5,"Colombia","CO","COL","Amazonas"
"2139","Medellin","Medellin",6.275003274,-75.57501001,2648489.5,"Colombia","CO","COL","Antioquia"
"2140","Cali","Cali",3.399959126,-76.49996647,2216418,"Colombia","CO","COL","Valle del Cauca"
"2141","Bogota","Bogota",4.596423563,-74.08334396,7052830.5,"Colombia","CO","COL","Bogota"
